district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
568,489737,88626,221397,307644,192268,147273,177782,4167,22770,99407,1682
569,250932,80397,153376,246881,103403,133619,113226,2381,13808,78079,1259
570,319616,60267,138818,206485,130847,100000,110965,2389,12174,54521,1879
571,865589,144153,273136,416580,291623,237454,286324,6111,32527,120601,4882
572,2109275,314042,721078,1191507,758716,1054230,1517965,86004,190651,1659208,18875
573,656120,92940,156890,259270,190864,156628,193431,3588,19190,72471,4377
574,551165,112333,183905,287069,210577,157400,161415,4135,29091,77263,2068
575,423326,125561,267246,446189,199943,232346,204480,5536,31858,150965,2199
576,141642,37368,62066,95214,64041,61997,52071,851,4351,34248,670
577,1038947,126258,268509,441743,305561,231177,316167,11478,37663,215021,8603
578,455512,39352,95867,145882,98681,62170,80988,1191,7019,30780,3349
579,1138958,61446,293160,370352,153543,209463,184792,8001,27314,114165,5132
580,664268,22972,152409,138335,52082,51201,55262,1216,6279,26896,3351
581,520182,67330,147488,239598,158248,142929,162626,3730,23695,67226,3349
582,471882,47657,120964,197578,134275,110122,111450,2176,11785,44334,2881
583,302174,32190,98814,156515,104529,113632,121190,2772,13516,43738,1853
584,407878,28874,101590,162215,117456,94174,114933,1940,11650,39296,2630
