district_id,total_none,total_0,total_5,total_10,total_15,total_20,total_25,total_30,total_35,total_40,total_45,total_50,total_55,total_60,total_65,total_70,total_75,total_80,total_85,total_90,total_95,total_100,male_none,male_0,male_5,male_10,male_15,male_20,male_25,male_30,male_35,male_40,male_45,male_50,male_55,male_60,male_65,male_70,male_75,male_80,male_85,male_90,male_95,male_100,female_none,female_0,female_5,female_10,female_15,female_20,female_25,female_30,female_35,female_40,female_45,female_50,female_55,female_60,female_65,female_70,female_75,female_80,female_85,female_90,female_95,female_100
75,354,117908,125014,131451,130630,126101,107971,89134,83196,69586,56848,43473,33363,34671,20708,15253,7827,6505,2619,1557,588,680,194,64042,68365,73076,73051,67661,57386,46052,43356,36992,30222,23229,16950,17327,10659,8004,4015,3390,1440,783,296,367,160,53866,56649,58375,57579,58440,50585,43082,39840,32594,26626,20244,16413,17344,10049,7249,3812,3115,1179,774,292,313
76,1266,131531,139770,149734,155325,150360,128481,105709,98086,85217,71204,58140,45826,48341,28685,22691,11930,9953,3829,2407,898,618,650,73078,77989,83654,86501,81351,68783,55637,50991,45422,37903,30737,23570,23776,14465,11526,6101,5072,2042,1277,469,305,616,58453,61781,66080,68824,69009,59698,50072,47095,39795,33301,27403,22256,24565,14220,11165,5829,4881,1787,1130,429,313
77,885,117140,128837,143719,148805,134678,110906,95474,92293,81688,66249,50971,39488,47651,28771,21256,11057,8097,3088,1898,699,502,483,63686,70338,78790,82665,74269,60339,49261,47687,42606,34959,27032,19264,23144,14341,10825,5734,4233,1696,1037,350,267,402,53454,58499,64929,66140,60409,50567,46213,44606,39082,31290,23939,20224,24507,14430,10431,5323,3864,1392,861,349,235
78,1788,84454,90846,101504,104499,94904,79538,68842,64915,56715,46537,34601,26535,34889,20053,14081,7142,5557,2212,1455,564,380,956,45298,49562,55299,57311,50448,41808,35288,33089,29718,24310,18289,12395,16891,9923,6889,3404,2431,1026,641,223,161,832,39156,41284,46205,47188,44456,37730,33554,31826,26997,22227,16312,14140,17998,10130,7192,3738,3126,1186,814,341,219
79,2432,109829,118889,135756,141962,132254,111538,96984,90741,79902,66717,50355,37525,46991,27552,20450,10271,8405,3156,2132,777,571,1232,58566,64933,74811,77893,70251,58733,49434,46388,41556,34894,26963,17875,23234,13861,10125,4913,3934,1426,950,365,245,1200,51263,53956,60945,64069,62003,52805,47550,44353,38346,31823,23392,19650,23757,13691,10325,5358,4471,1730,1182,412,326
80,4456,149216,164383,183658,190097,177501,152975,131450,125209,110169,89708,68850,50521,58871,32992,24183,12647,9699,3665,2153,875,653,2439,80259,89780,100180,105777,98746,83398,68401,64849,58018,47144,36743,24864,28599,16402,11620,6114,4582,1852,1048,428,319,2017,68957,74603,83478,84320,78755,69577,63049,60360,52151,42564,32107,25657,30272,16590,12563,6533,5117,1813,1105,447,334
81,2297,146979,159815,174834,176797,163504,143031,121942,110894,94702,78222,62787,48122,59421,33532,25294,13721,10707,4342,2175,829,498,1267,79661,87697,95424,98593,88846,75801,62925,57511,49517,40472,32674,23654,28240,16775,12328,6739,4855,2195,922,370,206,1030,67318,72118,79410,78204,74658,67230,59017,53383,45185,37750,30113,24468,31181,16757,12966,6982,5852,2147,1253,459,292
82,424,89807,97673,105308,112334,107524,93095,77927,72290,64264,54873,46402,36352,38753,22808,18476,9616,7675,3007,1695,580,321,226,49369,53894,58439,63037,58580,49523,40927,37485,33894,28886,24656,18503,19036,11584,9079,4805,3776,1547,785,299,149,198,40438,43779,46869,49297,48944,43572,37000,34805,30370,25987,21746,17849,19717,11224,9397,4811,3899,1460,910,281,172
83,979,83782,88115,95290,99232,97455,86101,72322,67372,57535,47866,38988,30614,34994,20450,15912,8905,7026,2827,1653,612,375,575,46929,49613,53649,55516,52164,45694,37871,35408,30571,25629,20562,15597,16580,10296,7643,4365,3341,1411,777,289,187,404,36853,38502,41641,43716,45291,40407,34451,31964,26964,22237,18426,15017,18414,10154,8269,4540,3685,1416,876,323,188
84,1438,77624,84458,98421,100389,91649,77459,66799,62872,54218,45503,36786,29112,34887,21441,16625,9111,7284,3155,1797,712,348,738,43646,47292,54382,55504,48700,40627,33538,32011,27553,23562,18974,14723,16410,10702,8127,4324,3221,1498,746,266,121,700,33978,37166,44039,44885,42949,36832,33261,30861,26665,21941,17812,14389,18477,10739,8498,4787,4063,1657,1051,446,227
