district_id,adi,afghani,anal,angami,ao,arabic,assamese,balti,bengali,bhili,bhotia,bhumij,bishnupuriya,bodo,chakhesang,chakru,chang,coorgi,deori,dimasa,dogri,english,gadaba,gangte,garo,gondi,gujarati,halabi,halam,hindi,hmar,ho,jatapu,juang,kabui,kannada,karbi,kashmiri,khandeshi,kharia,khasi,khezha,khiemnungan,khond,kinnauri,kisan,koch,koda,kolami,kom,konda,konkani,konyak,korku,korwa,koya,kui,kuki,kurukh,ladakhi,lahauli,lahnda,lakher,lalung,lepcha,liangmei,limbu,lotha,lushai,maithili,malayalam,malto,manipuri,mao,maram,marathi,maring,miri,mishmi,mogh,monpa,munda,mundari,nepali,nicobarese,nissi,nocte,odia,others,paite,parji,pawi,phom,pochury,punjabi,rabha,rai,rengma,sangtam,sanskrit,santali,savara,sema,sherpa,shina,sindhi,tamang,tamil,tangkhul,tangsa,telugu,thado,tibetan,tripuri,tulu,urdu,vaiphei,wancho,yimchungre,zeliang,zemi,zou
494,0,0,0,0,0,0,27,0,69,63,0,0,0,29,0,0,0,0,0,0,0,61,0,0,0,0,51027,0,0,590,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,37,0,0,0,0,0,0,0,36,0,0,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,17,0,0,1,0,0,0,0,3,0,0,0,0,0,0
495,2,0,0,0,0,15,1174,0,5163,455,0,0,0,21,0,0,0,2,0,0,2,122,0,0,0,0,72621,0,0,87722,0,0,0,0,0,451,0,2,14,6,0,3,0,0,0,0,0,0,0,4,2,140,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1044,1188,0,22,0,0,10971,0,0,0,0,0,3,5,1365,0,0,0,4405,1679,0,0,0,0,1,222,7,0,0,0,2,81,0,0,0,0,412,0,303,0,0,463,0,0,5,24,1029,0,0,0,0,0,0
496,1,0,0,0,0,0,957,0,3116,128078,0,8,0,28,0,0,0,0,0,0,3,282,0,0,0,3,73831,0,0,89905,0,5,0,0,0,886,5,11,355,5,0,2,0,0,0,0,0,5,0,3,0,7756,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2187,2172,0,81,0,0,24105,0,9,0,0,0,9,13,1152,0,0,0,4463,666,0,0,0,0,0,414,0,0,0,0,2,57,0,0,0,0,471,0,739,0,0,778,3,0,6,44,1089,0,0,0,0,0,0
497,6,0,0,63,0,2,341,0,922,1003401,0,0,0,0,0,0,0,0,0,0,419,23,0,0,0,360,38234,0,0,99759,0,22,0,0,0,88,0,145,145705,3,0,0,0,0,0,0,0,0,1,0,0,1402,0,3,1,0,0,0,309,0,0,0,0,0,0,0,0,0,0,23,194,0,11,0,0,264698,0,0,0,0,0,0,0,165,0,1,0,124,20206,0,0,0,0,0,426,0,0,0,0,0,9,0,0,0,0,5437,0,170,0,0,3165,0,2,0,1,62454,0,0,0,0,0,0
498,5,0,0,21,0,1,333,0,343,426808,0,0,0,0,0,0,0,5,0,0,0,55,0,0,0,142,15011,0,0,124776,0,39,0,0,0,601,0,80,588521,0,1,0,0,0,0,0,0,0,2,1,0,40181,0,52,0,0,0,0,31,0,0,1914,0,0,0,0,0,0,0,23,447,0,4,0,0,692836,0,0,0,0,0,0,0,151,0,0,0,231,5296,0,0,1,0,0,892,0,0,0,0,21,8,0,0,0,0,8349,0,196,0,0,5213,0,0,3,3,138265,0,0,0,0,0,0
499,2,0,0,50,0,9,209,0,2097,179794,0,0,0,1,0,0,0,91,1,0,130,808,0,0,0,3286,22596,33,0,429846,1,182,0,0,1,637,0,373,513798,5,1,0,0,0,0,5,0,0,0,0,0,16922,0,830,21,0,0,1,8,0,0,172,1,0,0,0,0,0,0,31,694,0,10,0,0,2683851,0,0,0,0,0,1,0,390,0,0,0,642,5147,6,0,0,0,0,1673,4,1,0,0,29,875,0,0,0,0,27403,0,1000,0,0,8806,0,0,0,7,327435,1,0,0,0,0,0
500,2,0,0,0,0,0,20,0,332,23094,0,0,0,2,0,0,1,0,0,0,14,13,0,0,2,983,5321,12,0,192057,0,37,0,0,0,169,0,13,1047,4,6,0,0,0,0,0,0,0,8,0,0,10758,0,4855,5,0,0,12,2,0,0,109,0,0,0,0,0,0,0,22,199,0,4,0,0,2034512,0,0,0,0,0,0,8,94,0,3,0,155,5165,3,0,0,0,0,716,1,0,0,0,23,0,0,0,0,0,6487,0,592,0,0,15257,0,0,0,1,284137,1,0,0,0,0,0
501,8,0,0,0,0,10,15,0,497,2750,0,0,0,0,0,0,0,2,0,0,0,60,0,0,0,785,11180,16,0,169716,0,3,0,0,0,203,0,21,78,0,1,0,0,0,0,0,0,0,0,0,0,1934,0,10766,13,0,0,0,2,0,0,42,0,0,0,0,0,0,0,10,216,0,0,0,0,1276785,0,0,0,0,0,0,0,46,0,0,0,204,2642,0,0,0,0,0,941,0,0,0,0,32,3,0,0,0,0,15254,0,422,0,0,4834,0,0,0,6,314408,1,0,0,0,0,0
502,0,0,0,0,0,1,0,0,102,1673,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,782,1432,17,0,173299,0,31,0,0,0,108,0,25,17,2,0,0,0,1,0,0,0,0,0,0,0,1246,0,88,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,908389,0,0,0,0,0,0,0,43,0,0,0,34,850,0,0,0,0,0,211,0,0,0,0,27,0,0,0,0,0,3037,0,98,0,0,6712,0,0,0,0,98849,0,0,0,0,0,0
503,1,0,0,0,0,8,25,0,949,9650,0,0,0,1,0,0,0,0,0,0,0,112,0,0,0,53538,8868,910,0,258455,0,464,0,0,0,958,0,39,60,1,0,0,0,2,0,0,42,16,127,0,1,1789,0,236890,192,0,0,0,70,0,0,221,0,0,0,0,0,0,8,22,259,0,6,0,0,1930301,0,0,0,0,0,20,1,106,0,3,1,775,4229,0,0,0,0,0,1135,2,0,0,0,27,6,0,0,0,0,31378,0,259,0,0,3903,4,1,0,11,342596,0,0,0,0,3,0
504,0,0,0,0,0,20,24,0,884,1734,0,0,0,2,0,0,0,0,0,0,35,18,0,0,0,7420,3876,275,0,105744,0,13,0,0,0,332,0,56,9,0,0,0,0,0,0,0,0,0,4483,0,0,3,0,811,2,0,0,0,59,0,0,0,0,0,0,0,0,0,16,43,814,0,14,0,0,1141875,0,0,0,0,0,1,13,164,0,0,0,491,2315,0,0,0,0,0,1486,0,0,0,0,42,1,0,0,0,0,7383,0,397,0,0,3474,0,0,0,3,16440,1,0,1,0,0,0
505,0,4,0,1,2,105,218,0,18852,2089,1,0,3,22,0,1,5,4,0,0,57,1991,0,0,2,50705,32103,13657,4,942579,0,96,0,0,1,1758,2,83,49,33,4,0,0,0,3,3,0,0,15,0,0,423,0,447,39,0,0,10,137,0,0,98,0,0,0,0,0,0,26,932,7654,0,62,4,0,3262680,1,0,0,1,0,147,27,1678,0,1,0,6230,7053,2,0,0,0,0,24596,0,6,0,0,195,83,3,0,0,0,45291,0,7890,0,0,27985,0,0,7,38,195372,0,0,0,0,0,0
506,1,0,0,0,0,8,3,0,1181,21,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5763,1531,2862,0,58908,0,18,0,0,0,402,0,15,1,2,0,0,0,0,0,0,0,0,1,0,0,23,0,4,0,0,0,0,0,0,0,68,0,0,0,0,0,0,6,16,366,0,0,0,0,1118538,0,0,0,0,0,6,0,57,0,0,0,365,644,0,0,0,0,0,687,0,0,0,0,3,109,0,0,0,0,3024,0,176,0,0,936,0,0,0,2,4571,0,0,0,0,0,0
507,0,0,0,0,0,11,88,0,8929,633,21,0,0,7,0,0,3,0,0,0,0,20,1,0,0,45752,3536,287,0,274304,0,72,0,0,0,1166,0,31,6,13,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,1,27,251,0,0,5,0,969568,0,0,0,0,0,10,0,31,0,0,0,944,753,0,0,0,0,1,1591,1,0,0,0,17,55,2,0,0,0,10135,0,161,0,0,1520,1,728,6,60,1703,0,0,0,0,0,0
508,0,0,0,0,0,42,81,0,54969,284,3,0,0,6,0,0,8,0,0,0,15,36,0,0,0,152443,1182,2206,0,46464,0,0,0,0,0,476,0,13,10,37,0,0,0,0,0,0,0,0,0,0,1,11,0,21,1,0,0,0,5806,0,0,52,0,0,0,0,0,0,0,4,169,0,14,0,0,604916,0,0,0,0,0,2,1,61,0,3,0,190,443,0,0,0,0,0,327,0,0,0,0,0,101557,0,0,0,0,1580,0,420,1,0,95200,0,0,0,26,3861,0,0,0,0,0,0
509,0,0,0,0,0,24,15,0,17200,549,0,0,0,0,0,0,5,0,0,0,14,158,0,0,1,35144,5509,2663,0,190979,0,0,0,0,0,2865,0,12,47,0,4,0,0,0,0,0,0,0,6048,0,0,2835,0,74,0,4,0,0,85,0,0,121,1,0,0,0,0,0,0,196,2060,0,20,0,0,1843413,0,0,0,0,0,28,10,351,0,0,0,2222,2480,0,0,0,0,0,4854,0,0,0,0,34,113,0,0,0,0,3436,0,2269,6,0,56835,0,0,0,15,21608,0,0,0,0,0,0
510,0,0,0,0,0,56,2,0,1570,8091,1,0,0,1,0,0,0,1,0,0,0,45,0,0,0,66807,8001,58,0,526703,0,50,0,0,0,373,0,11,30,0,0,4,0,0,4,0,0,0,76720,0,0,1668,0,182,0,0,0,0,14,0,0,1187,0,0,0,0,0,0,0,50,337,1,7,0,0,1873261,0,0,0,0,0,2,3,70,0,1,0,460,2265,5,0,0,0,0,1150,0,0,0,0,28,9,0,0,0,0,5902,0,451,0,0,46773,0,29,0,1,149964,0,0,0,0,0,0
511,0,0,0,0,0,13,14,0,1139,654,0,0,0,6,0,0,0,0,0,2,23,80,0,0,4,27941,4751,8,0,371957,0,40,0,0,0,8235,0,19,18,0,4,0,0,0,0,0,1,0,1504,0,0,1037,0,9,0,8,0,0,2,0,0,338,0,0,0,0,0,0,1,22,330,0,8,0,0,2536305,0,0,0,0,0,1,0,132,0,0,0,248,1266,0,0,0,0,0,5365,2,0,0,0,61,0,0,0,0,0,1897,0,1609,0,0,72513,0,0,4,33,323688,0,0,0,0,0,0
512,0,0,0,0,0,5,0,0,154,1361,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,22,1287,0,0,100263,0,0,0,0,0,118,0,557,19,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,44,0,0,0,11,0,0,0,0,0,0,0,28,0,0,0,0,983442,0,0,0,0,0,0,0,35,0,0,0,18,896,0,0,0,0,0,109,0,0,0,0,18,0,0,0,0,0,212,0,66,0,0,7909,0,0,0,1,80735,0,0,0,0,0,0
