district_id,hindu,muslim,christian,sikh,buddhist,jain,other,none
45,141363,3125,1227,469789,155,1109,103,637
46,380569,16299,2474,984286,246,1266,559,2826
47,156539,10375,917,598443,123,1577,493,1284
48,783306,40043,5683,1059944,245,1914,1410,3141
49,690939,12502,54344,1716935,876,3152,1044,10864
50,60504,3855,6095,1044903,101,650,47,3472
51,304481,14492,2094,361045,118,653,143,1601
52,476276,29488,5342,478908,257,1257,239,2861
53,389410,179116,2406,1077438,268,3222,1038,2271
54,112859,13100,622,467751,108,246,481,360
346,1104475,194680,17168,123,371,20,4591,1356
347,903179,116710,6565,888,35,129,12936,2444
348,605138,107018,1221,944,32,980,269,657
349,1856202,508586,14645,937,650,1503,59218,3733
350,1165140,302626,6027,143,188,282,16067,1600
351,937126,289182,37795,97,128,115,47067,2041
352,628044,398243,83208,198,245,125,38426,2078
353,410127,322963,75865,356,283,222,88760,1846
354,2149480,431762,11243,9727,331,1268,77182,3494
355,1636460,241451,13730,4174,1890,2045,160524,2056
356,112378,95012,16770,51,33,15,235987,1544
357,1550178,203999,30172,38544,892,1670,465367,3097
358,1683169,238295,6164,734,188,284,5681,5354
359,473049,69808,47653,120,128,16,133525,2679
360,1397227,281247,17137,1312,71,1676,34154,1671
361,774251,129037,7260,5093,69,537,32378,818
362,1044726,106865,86404,234,267,162,78622,4162
363,550560,164406,4419,520,118,783,68564,1672
364,1612239,410759,193974,4826,932,2733,677445,11345
365,138863,13122,136438,69,245,148,241292,1708
366,309563,51429,202449,221,531,23,457468,3529
367,201524,15103,306601,51,753,114,73930,1502
368,423937,38103,87587,946,389,52,945864,5460
369,709016,63588,8113,1114,187,72,280469,2497
99,1437144,50688,2077,474853,938,1988,164,1316
100,1433067,118673,1542,216997,241,1935,138,2099
101,2073356,235741,1901,20072,285,30850,79,1653
102,1777879,249736,958,402,188,7104,127,3153
103,1905682,228178,1004,275,56,548,85,1217
104,3039279,547335,2696,64532,4384,13221,348,2384
105,2143046,371286,1576,23456,899,5758,18,2423
106,1127520,72258,688,1356,92,2739,21,1842
107,1370977,81553,602,297,70,3424,413,912
108,1165505,155681,945,812,177,9991,42,2398
109,1582335,45488,439,296,94,3737,115,1905
110,5819980,687452,12708,18782,1020,81079,257,4900
111,2342076,327583,1122,356,177,4050,15,1954
112,2833443,454487,1912,366,163,12940,276,4156
113,3224399,411558,6035,4123,514,36697,80,3759
114,497045,168129,874,1723,98,1521,34,495
115,2244882,321192,1157,450,157,34010,34,1869
116,1732852,78990,730,231,144,14640,82,1061
117,996562,30479,1284,572,114,6829,56,450
118,1870543,143476,1345,1540,141,18974,52,1502
119,2201663,314159,10605,6799,417,45614,184,3611
120,1243527,153146,754,378,122,22458,30,911
121,1017688,66609,682,11059,144,13455,24,1245
122,2224839,142427,1978,1468,183,35149,60,2419
123,1105676,33677,759,260,100,14966,68,1091
124,1340065,28662,830,240,226,16141,853,1535
125,1701234,48834,22250,427,138,22613,109,1880
126,1413163,97855,1274,1515,252,25843,136,4300
127,1661307,243993,5665,11058,280,25742,286,2683
128,1133349,79984,1432,3066,84,2795,48,1997
129,1299751,96164,842,819,46,12488,42,977
130,2869976,104307,7406,4278,209,78647,373,3224
131,827293,25597,358,72,32,14077,27,392
327,1366681,105086,141848,2032,209240,1840,15523,4573
