district_id,hindu,muslim,christian,sikh,buddhist,jain,other,none
610,2115455,76098,55899,435,148,639,157,2913
611,569477,78452,84610,338,382,910,87,1138
612,1879494,105012,169945,313,256,71,138,4546
613,993666,53292,16483,115,29,7,79,822
614,2279413,190964,246156,324,250,628,253,4302
615,521658,32702,10301,83,39,38,26,376
616,708397,7942,37403,104,88,65,42,853
617,2391675,123749,83334,401,236,1280,138,5101
618,1435072,128617,47579,184,450,963,110,3475
619,1132785,96092,33192,258,151,279,64,1456
620,2075870,190814,133971,231,795,1256,148,2805
621,1428784,114194,72850,119,81,32,293,1992
622,1186078,74310,75481,150,80,109,24,2869
623,2760502,168881,97711,520,199,1532,305,8602
624,1148990,56751,37574,152,79,28,74,2251
625,1822626,47838,67405,245,87,98,75,3914
626,1047411,208038,91139,154,86,29,36,6552
627,1373920,80740,291908,127,286,53,112,3030
628,2425630,303368,342254,268,373,144,450,4746
629,909872,78590,876299,160,438,156,10,4849
630,1452956,38304,14089,164,39,37,87,1167
631,1723737,115303,35956,468,121,373,221,3630
632,3044145,211035,190314,1112,435,3284,237,7483
633,2278835,123983,70015,455,198,371,119,5076
