district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
81,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,1011439,435994,575445
82,1061204,568479,492725,747582,436025,311557,345967,272646,73321,715237,295833,419404
83,958405,514667,443738,676091,399480,276611,326534,250020,76514,631871,264647,367224
84,922088,486665,435423,630255,380440,249815,338584,232935,105649,583504,253730,329774
85,900332,474335,425997,636947,375453,261494,337727,235326,102401,562605,239009,323596
86,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,969716,384234,585482
87,1089263,571162,518101,454897,308435,146462,289964,224642,65322,799299,346520,452779
88,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,1230504,489177,741327
89,1042708,554497,488211,599796,379696,220100,309563,241464,68099,733145,313033,420112
90,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,2467994,938503,1529491
91,887978,475002,412976,681517,381615,299902,296446,257575,38871,591532,217427,374105
92,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,1580238,594072,986166
93,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,1129654,420549,709105
94,142004,77942,64062,114179,65678,48501,59541,46940,12601,82463,31002,51461
95,582320,307821,274499,442360,240518,201842,207374,177621,29753,374946,130200,244746
96,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,1668923,623642,1045281
97,2292958,1246046,1046912,1787689,1025261,762428,795352,667977,127375,1497606,578069,919537
98,2731929,1467428,1264501,2078402,1185036,893366,924393,775592,148801,1807536,691836,1115700
99,1969168,1043340,925828,1193343,710908,482435,912672,596320,316352,1056496,447020,609476
100,1774692,931184,843508,1034136,624281,409855,835260,512802,322458,939432,418382,521050
101,2363937,1240801,1123136,1278801,782399,496402,986208,640572,345636,1377729,600229,777500
102,2039547,1051446,988101,1149269,696729,452540,902829,541404,361425,1136718,510042,626676
103,2137045,1095896,1041149,1370360,815834,554526,894649,541392,353257,1242396,554504,687892
104,3674179,1939026,1735153,2182476,1359829,822647,1708542,994171,714371,1965637,944855,1020782
105,2548462,1355726,1192736,1480869,943910,536959,1071154,647198,423956,1477308,708528,768780
106,1206516,653647,552869,683098,435721,247377,523212,339110,184102,683304,314537,368767
107,1458248,783639,674609,805849,531904,273945,628726,371058,257668,829522,412581,416941
108,1335551,704031,631520,741748,486184,255564,578068,343802,234266,757483,360229,397254
109,1634409,857787,776622,938051,596935,341116,684495,398151,286344,949914,459636,490278
110,6626178,3468507,3157671,4300965,2554793,1746172,2464893,1714947,749946,4161285,1753560,2407725
111,2677333,1374990,1302343,1652117,995275,656842,1006504,657854,348650,1670829,717136,953693
112,3307743,1696325,1611418,1758624,1102750,655874,1425882,857031,568851,1881861,839294,1042567
113,3687165,1923928,1763237,2031532,1265753,765779,1489741,965103,524638,2197424,958825,1238599
114,669919,361708,308211,308653,210415,98238,288903,182565,106338,381016,179143,201873
115,2603751,1369022,1234729,1188322,783461,404861,1202482,696240,506242,1401269,672782,728487
116,1828730,936634,892096,829582,543923,285659,896644,494906,401738,932086,441728,490358
117,1036346,534231,502115,476806,309900,166906,419829,272196,147633,616517,262035,354482
118,2037573,1025422,1012151,1085693,667381,418312,842327,523077,319250,1195246,502345,692901
119,2583052,1324085,1258967,1526673,926268,600405,1053722,686149,367573,1529330,637936,891394
120,1421326,728136,693190,749659,478329,271330,649161,371848,277313,772165,356288,415877
121,1110906,577160,533746,585044,371705,213339,526091,314806,211285,584815,262354,322461
122,2408523,1220736,1187787,1256126,777582,478544,1148165,674589,473576,1260358,546147,714211
123,1156597,581339,575258,619139,383334,235805,550831,319534,231297,605766,261805,343961
124,1388552,696532,692020,681591,415820,265771,641515,346624,294891,747037,349908,397129
125,1797485,907754,889731,829343,513854,315489,916574,482236,434338,880911,425518,455393
126,1544338,783171,761167,821825,514851,306974,802755,456632,346123,741583,326539,415044
127,1951014,1021161,929853,1298345,765396,532949,748811,534650,214161,1202203,486511,715692
128,1222755,633945,588810,693307,432607,260700,552583,329754,222829,670172,304191,365981
129,1411129,725143,685986,739792,466815,272977,685950,402825,283125,725179,322318,402861
130,3068420,1566801,1501619,1582629,973444,609185,1365783,835839,529944,1702637,730962,971675
131,867848,437744,430104,401515,250122,151393,481294,251691,229603,386554,186053,200501
132,3466382,1834106,1632276,2077108,1220114,856994,1037344,911136,126208,2429038,922970,1506068
133,4143512,2193434,1950078,2417339,1448528,968811,1291644,1081569,210075,2851868,1111865,1740003
134,3682713,1921215,1761498,2135393,1241471,893922,1088036,921497,166539,2594677,999718,1594959
135,4772006,2503186,2268820,2263848,1357435,906413,1417811,1193439,224372,3354195,1309747,2044448
136,2335819,1223889,1111930,1043666,630408,413258,737261,609693,127568,1598558,614196,984362
137,1840221,963449,876772,983110,600541,382569,599089,459037,140052,1241132,504412,736720
138,3443689,1825743,1617946,2141488,1254520,886968,1090539,898810,191729,2353150,926933,1426217
139,1303048,700070,602978,797970,489858,308112,416695,342604,74091,886353,357466,528887
140,4681645,2488834,2192811,3123264,1811397,1311867,1520538,1231615,288923,3161107,1257219,1903888
141,1648115,890214,757901,1122947,666065,456882,569109,443384,125725,1079006,446830,632176
142,3499171,1845260,1653911,2031656,1253314,778342,1173260,897815,275445,2325911,947445,1378466
